,2020 census
Allegany,68106.00
Anne Arundel,588261.00
Baltimore,854535.00
Calvert,92783.00
Caroline,33293.00
Carroll,172891.00
Cecil,103725.00
Charles,166617.00
Dorchester,32531.00
Frederick,271717.00
Garrett,28806.00
Harford,260924.00
Howard,332317.00
Kent,19198.00
Montgomery,1062061.00
Prince George's,967201.00
Queen Anne's,49874.00
St. Mary's,113777.00
Somerset,24620.00
Talbot,37526.00
Washington,154705.00
Wicomico,103588.00
Worcester,52460.00
Balitmore City,583132.00
